sasdate,INDPRO
Transform:,5.0
7/1/2002,90.6769
8/1/2002,90.5762
9/1/2002,90.6531
10/1/2002,90.4643
11/1/2002,90.9711
12/1/2002,90.4652
1/1/2003,91.2361
2/1/2003,91.3445
3/1/2003,91.1044
4/1/2003,90.5617
5/1/2003,90.537
6/1/2003,90.6527
7/1/2003,91.1185
8/1/2003,90.9197
9/1/2003,91.5059
10/1/2003,91.6186
11/1/2003,92.2329
12/1/2003,92.2602
1/1/2004,92.4006
2/1/2004,92.958
3/1/2004,92.5861
4/1/2004,92.93
5/1/2004,93.6013
6/1/2004,92.871
7/1/2004,93.5649
8/1/2004,93.6277
9/1/2004,93.7467
10/1/2004,94.5465
11/1/2004,94.7813
12/1/2004,95.5365
1/1/2005,95.8801
2/1/2005,96.5761
3/1/2005,96.4456
4/1/2005,96.6532
5/1/2005,96.7402
6/1/2005,97.1753
7/1/2005,96.8676
8/1/2005,97.1833
9/1/2005,95.3005
10/1/2005,96.4572
11/1/2005,97.5414
12/1/2005,98.0452
1/1/2006,98.1999
2/1/2006,98.2413
3/1/2006,98.4628
4/1/2006,98.7618
5/1/2006,98.7869
6/1/2006,99.0997
7/1/2006,99.0489
8/1/2006,99.4836
9/1/2006,99.3183
10/1/2006,99.2044
11/1/2006,99.1627
12/1/2006,100.1735
1/1/2007,99.8346
2/1/2007,100.7753
3/1/2007,100.9547
4/1/2007,101.6334
5/1/2007,101.7306
6/1/2007,101.7893
7/1/2007,101.6672
8/1/2007,101.863
9/1/2007,102.0894
10/1/2007,101.8015
11/1/2007,102.3446
12/1/2007,102.3803
1/1/2008,102.2448
2/1/2008,101.8438
3/1/2008,101.5336
4/1/2008,100.8785
5/1/2008,100.2674
6/1/2008,100.0335
7/1/2008,99.676
8/1/2008,98.1111
9/1/2008,93.7895
10/1/2008,94.7219
11/1/2008,93.4715
12/1/2008,90.8357
1/1/2009,88.57
2/1/2009,88.031
3/1/2009,86.6528
4/1/2009,85.9344
5/1/2009,85.0665
6/1/2009,84.7459
7/1/2009,85.7027
8/1/2009,86.6426
9/1/2009,87.4063
10/1/2009,87.6419
11/1/2009,88.0221
12/1/2009,88.3793
1/1/2010,89.3426
2/1/2010,89.6779
3/1/2010,90.2928
4/1/2010,90.5991
5/1/2010,91.823
6/1/2010,91.9928
7/1/2010,92.3421
8/1/2010,92.6805
9/1/2010,92.9537
10/1/2010,92.6903
11/1/2010,92.7709
12/1/2010,93.6787
1/1/2011,93.4814
2/1/2011,93.1102
3/1/2011,94.0788
4/1/2011,93.7749
5/1/2011,93.888
6/1/2011,94.172
7/1/2011,94.636
8/1/2011,95.2749
9/1/2011,95.1961
10/1/2011,95.8568
11/1/2011,95.8485
12/1/2011,96.3571
1/1/2012,96.9318
2/1/2012,97.2435
3/1/2012,96.74
4/1/2012,97.4359
5/1/2012,97.6609
6/1/2012,97.6663
7/1/2012,97.8713
8/1/2012,97.4525
9/1/2012,97.381
10/1/2012,97.7193
11/1/2012,98.0777
12/1/2012,98.3101
1/1/2013,98.3342
2/1/2013,98.7941
3/1/2013,99.1921
4/1/2013,99.1065
5/1/2013,99.1839
6/1/2013,99.3897
7/1/2013,99.0814
8/1/2013,99.6543
9/1/2013,100.161
10/1/2013,100.082
11/1/2013,100.3158
12/1/2013,100.5175
1/1/2014,100.1599
2/1/2014,100.9168
3/1/2014,101.8942
4/1/2014,101.9928
5/1/2014,102.3836
6/1/2014,102.735
7/1/2014,102.9632
8/1/2014,102.7688
9/1/2014,103.0641
10/1/2014,103.0764
11/1/2014,103.7126
12/1/2014,103.7044
1/1/2015,102.8905
2/1/2015,102.2335
3/1/2015,101.8914
4/1/2015,101.3355
5/1/2015,100.8883
6/1/2015,100.571
7/1/2015,101.2228
8/1/2015,101.0367
9/1/2015,100.7547
10/1/2015,100.2675
11/1/2015,99.5298
12/1/2015,99.0417
1/1/2016,99.5607
2/1/2016,99.0445
3/1/2016,98.3096
4/1/2016,98.6421
5/1/2016,98.4184
6/1/2016,98.8833
7/1/2016,98.9992
8/1/2016,98.85
9/1/2016,98.7457
10/1/2016,98.7611
11/1/2016,98.3491
12/1/2016,99.0214
1/1/2017,98.7611
2/1/2017,98.3646
3/1/2017,99.0137
4/1/2017,100.0224
5/1/2017,100.1408
6/1/2017,100.3471
7/1/2017,100.1068
8/1/2017,99.6925
9/1/2017,99.7954
10/1/2017,101.0247
11/1/2017,101.2664
12/1/2017,101.4644
1/1/2018,101.4625
2/1/2018,101.7085
3/1/2018,102.2067
4/1/2018,103.3329
5/1/2018,102.4024
6/1/2018,103.198
7/1/2018,103.3646
8/1/2018,104.0327
9/1/2018,104.1004
10/1/2018,103.9856
11/1/2018,104.0681
12/1/2018,104.0936
1/1/2019,103.4021
2/1/2019,102.8371
3/1/2019,102.8757
4/1/2019,102.274
5/1/2019,102.392
6/1/2019,102.4375
7/1/2019,101.9408
8/1/2019,102.639
9/1/2019,102.2917
10/1/2019,101.4281
11/1/2019,101.9372
12/1/2019,101.7003
1/1/2020,101.0338
2/1/2020,101.3735
3/1/2020,97.4078
4/1/2020,84.5619
5/1/2020,85.9604
6/1/2020,91.5934
7/1/2020,95.0256
8/1/2020,95.9549
9/1/2020,95.9669
10/1/2020,96.7394
11/1/2020,97.0816
12/1/2020,98.363
1/1/2021,98.8822
2/1/2021,95.6149
3/1/2021,98.3856
4/1/2021,98.5587
5/1/2021,99.4333
6/1/2021,99.7987
7/1/2021,100.2519
8/1/2021,100.0437
9/1/2021,98.8579
10/1/2021,100.1861
11/1/2021,100.8654
12/1/2021,100.5726
1/1/2022,100.1856
2/1/2022,100.8064
3/1/2022,101.3907
4/1/2022,101.44
5/1/2022,101.3335
6/1/2022,101.018
7/1/2022,101.223
8/1/2022,101.0963
9/1/2022,101.2918
10/1/2022,101.2529
11/1/2022,100.9552
12/1/2022,99.7664
1/1/2023,100.505
2/1/2023,100.6416
3/1/2023,101.0205
4/1/2023,101.253
5/1/2023,100.9286
6/1/2023,100.1196
7/1/2023,100.9067
8/1/2023,100.8393
9/1/2023,101.0211
10/1/2023,100.4689
11/1/2023,100.8639
12/1/2023,100.6031
1/1/2024,99.2223
2/1/2024,100.285
3/1/2024,100.4575
4/1/2024,100.2434
5/1/2024,100.863
6/1/2024,100.894
7/1/2024,99.9757
8/1/2024,100.4309
9/1/2024,99.8084
10/1/2024,99.4695
11/1/2024,99.2925
12/1/2024,100.3273
1/1/2025,100.0647
2/1/2025,101.0993
3/1/2025,101.0404
4/1/2025,101.1279
5/1/2025,100.9655
6/1/2025,101.4785
7/1/2025,101.8738
8/1/2025,101.6019
9/1/2025,101.6729
10/1/2025,101.616
11/1/2025,101.7935
